Financial Institution Name,total_assets,defaulter,Failure_Assistance ,log_TA,NI_to_TA,Equity_to_TA,NPL_to_TL,REO_to_TA,ALLL_to_TL,core_deposits_to_TA,brokered_deposits_to_TA,liquid_assets_to_TA,loss_provision_to_TL,ROA,NIM,assets_growth,term_spread,stock_mkt_growth,real_gdp_growth,unemployment_rate_change,treasury_yield_3m,bbb_spread,bbb_spread_change,log_TA_plus_1Q,NI_to_TA_plus_1Q,Equity_to_TA_plus_1Q,NPL_to_TL_plus_1Q,REO_to_TA_plus_1Q,ALLL_to_TL_plus_1Q,core_deposits_to_TA_plus_1Q,brokered_deposits_to_TA_plus_1Q,liquid_assets_to_TA_plus_1Q,loss_provision_to_TL_plus_1Q,ROA_plus_1Q,NIM_plus_1Q,assets_growth_plus_1Q,max_total_assets
COLORADO NATIONAL BANK,142138,1,FAILURE,-0.048734057,-6.505183291,-0.759562142,0.880756422,-0.162300906,-0.039358129,-1.594098688,-0.182974509,0.095379526,0.003639607,-6.505183291,-0.55401654,0.365435653,0.155788351,-0.317435305,-0.253926893,0.85960907,0.00669209,0.894063511,0.41736579,-0.069667159,-0.36790535,-0.795966157,2.013862174,-0.066290479,0.294916291,-2.007894195,-0.182974509,0.106776203,0.004823069,-0.36790535,-0.840312467,-0.582231705,142138
"COMMUNITY BANK, NATIONAL ASSOCIATION",6364903,0,,2.754851923,0.143004658,0.249274954,-0.405930701,-0.327267647,-0.244766215,0.26512512,-0.150769799,0.229372425,-0.003401315,0.143004658,-0.109969538,1.447333496,0.89736795,-0.132754951,0.348841103,0.202648562,-0.956664383,-0.324745807,-0.095051377,2.767995902,0.205816432,0.236030904,-0.388326569,-0.335160405,-0.245809936,0.283317592,-0.156055902,0.318975996,-0.003056626,0.205816432,-0.140365391,0.003962247,8494486
"NEXBANK, SSB",784781,0,,1.211269162,0.229021279,-0.301031116,-0.750448955,-0.304600227,-0.661804081,-2.362597231,-0.182974509,-0.473224546,-0.002683633,0.229021279,-0.783150489,1.466905469,-0.400396348,0.188967984,-0.387875336,-0.782792199,-0.896454604,0.081523966,0.161157207,1.241315215,0.470934653,-0.24225348,-0.809730423,-0.374868225,-0.673111361,-1.386875448,-0.182974509,-0.630034403,-0.003505596,0.470934653,-0.799310246,0.28481489,2698563
COMMERCE BANK/SHORE NATIONAL ASSOCIATION,2173481,0,,1.962490121,0.253469207,-0.922809548,-0.752942062,-0.374868225,-0.260531811,1.438397478,-0.182974509,1.850472963,-0.002770726,0.253469207,-0.099538836,0.459243095,0.433880701,1.674053308,0.951609098,0.531128816,-0.354566587,-0.189322549,-0.863677128,2.043363389,0.22545422,-1.039013234,-0.740466969,-0.374868225,-0.249209645,1.427099027,-0.182974509,2.028525779,-0.002818639,0.22545422,-0.324275652,1.091618466,2697759
CENTENNIAL BANK,241440,1,FAILURE,0.341980973,-1.857314962,-0.643991935,4.583629868,10.67817512,0.926358548,-2.17512592,-0.182974509,-1.471494091,0.041008638,-1.857314962,-1.160576285,1.145982407,1.08276285,1.685831282,-1.928282436,3.158970846,-0.836244824,3.331682147,-3.16955438,0.315538217,-0.945864501,-0.67721736,4.701456571,12.48502228,-0.786735457,-1.679304538,-0.182974509,-1.41756098,-0.004325596,-0.945864501,-1.657426771,-0.679578648,241440
"HUNTINGTON NATIONAL BANK, THE",27399278,0,,3.831313471,0.017433692,-1.027311832,-0.217299763,-0.345598632,0.090154401,-0.84725684,-0.182974509,-1.026590271,-0.001689881,0.017433692,-2.279357784,0.206512405,0.433880701,1.674053308,0.951609098,0.531128816,-0.354566587,-0.189322549,-0.863677128,3.841315891,0.196791571,-1.031868887,-0.264673883,-0.327869574,-0.008600151,-0.878204809,-0.182974509,-0.997418243,-0.000177832,0.196791571,-0.589442058,-0.048952505,70879778
SUN WEST BANK,408185,1,FAILURE,0.729212998,-4.605855198,-0.730065866,3.971999661,0.165296844,1.874159878,-1.014031076,-0.182974509,-0.857951622,0.077197074,-4.605855198,-0.181501201,-0.921276186,1.08276285,1.685831282,-1.928282436,3.158970846,-0.836244824,3.331682147,-3.16955438,0.6947705,-5.016062597,-1.206242798,5.974006248,2.066344024,2.953148465,-0.399961446,-0.182974509,-0.837529938,0.083667179,-5.016062597,-0.231378968,-0.822222484,455864
INTERNATIONAL BANK OF COMMERCE,9359919,0,,3.039238489,0.166162262,-0.16555727,-0.196154854,-0.361847273,-0.342936593,-1.494441728,-0.182974509,0.253269276,-0.003666111,0.166162262,-0.531784532,-0.325523047,0.155788351,-0.317435305,-0.253926893,0.85960907,0.00669209,0.894063511,0.41736579,3.039497654,0.187921972,-0.173253902,-0.245001856,-0.345351239,-0.305674614,-1.518992946,-0.182974509,0.225380533,-0.002651334,0.187921972,-0.467882693,-0.21450369,10638109
NORTH HOUSTON BANK,351092,1,FAILURE,0.618100528,-1.017858486,-0.105100018,0.150634259,1.371875919,-0.058600357,-2.021985272,-0.182974509,-1.516192848,-0.010436642,-1.017858486,0.230058799,-3.22897099,1.08276285,1.685831282,-1.928282436,3.158970846,-0.836244824,3.331682147,-3.16955438,0.620070201,-0.136293291,-0.156389901,1.045611472,1.567041755,-0.078162828,-1.999909249,-0.182974509,-1.098274782,-0.007635141,-0.136293291,-0.74267886,-0.18528131,465115
"STATE FARM BANK, FSB",14926411,0,,3.383400811,-0.226547193,0.003553579,-0.18248753,-0.286611053,0.548493273,-2.60225501,13.60879794,-0.224626311,-0.00067517,-0.226547193,-0.604509553,0.560894722,0.341183251,0.569671897,1.42042865,-1.111272452,-0.956664383,0.216947223,0.41736579,3.423772589,-0.162268538,-0.106680853,-0.212910115,-0.291148263,0.511113992,-2.722284776,13.51601592,-0.097556372,0.000668513,-0.162268538,-0.579807823,0.453251184,17428588
